,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
82744,15000,15000.0,7.9,36.0,major_purchase,22.39,CA,MORTGAGE,7500.0,725.0,10.0,18756.0,0.0,10.0
94041,24625,24625.0,19.72,60.0,debt_consolidation,20.96,NY,RENT,5166.67,675.0,14.0,20694.0,0.0,8.0
99568,21850,21850.0,13.11,36.0,credit_card,28.08,MN,RENT,4166.67,690.0,12.0,20497.0,0.0,0.0
66550,6000,6000.0,15.31,36.0,debt_consolidation,15.68,NC,MORTGAGE,7500.0,670.0,10.0,5263.0,1.0,3.0
102756,6700,6636.91,16.0,36.0,debt_consolidation,21.53,GA,MORTGAGE,4700.0,725.0,11.0,9007.0,9.0,2.0
3962,10000,9225.43,12.21,36.0,moving,10.45,MA,RENT,7667.0,700.0,9.0,17328.0,0.0,2.0
83847,5775,5775.0,15.31,36.0,debt_consolidation,4.08,SC,RENT,5000.0,670.0,8.0,10088.0,2.0,10.0
33997,14475,14475.0,15.27,36.0,credit_card,23.69,NJ,RENT,4166.67,680.0,12.0,13294.0,1.0,3.0
72499,8000,8000.0,17.27,36.0,debt_consolidation,27.88,IL,RENT,2833.33,670.0,10.0,9926.0,3.0,6.0
92186,15000,15000.0,12.12,36.0,debt_consolidation,14.22,FL,MORTGAGE,5416.67,700.0,10.0,9237.0,0.0,0.0
80094,10000,10000.0,17.77,36.0,debt_consolidation,12.41,PA,MORTGAGE,4166.67,680.0,6.0,31212.0,0.0,8.0
32684,5600,5600.0,13.49,36.0,debt_consolidation,18.33,NY,RENT,2870.33,690.0,6.0,5033.0,2.0,5.0
14595,10000,10000.0,16.32,60.0,home_improvement,14.8,WV,RENT,2290.0,685.0,5.0,394.0,2.0,
96564,13000,13000.0,14.09,36.0,debt_consolidation,32.64,PA,MORTGAGE,5000.0,675.0,8.0,15208.0,0.0,10.0
17157,15000,10825.0,9.99,60.0,debt_consolidation,11.95,AZ,MORTGAGE,1958.33,745.0,8.0,3584.0,1.0,2.0
79363,2100,2100.0,12.12,36.0,credit_card,25.77,MN,RENT,2555.16,680.0,8.0,21190.0,0.0,10.0
70571,12000,12000.0,12.12,36.0,debt_consolidation,20.48,NV,MORTGAGE,7666.67,685.0,10.0,5832.0,0.0,2.0
3660,1000,1000.0,13.16,36.0,other,19.63,MI,RENT,3500.0,670.0,9.0,11189.0,2.0,2.0
65335,16000,16000.0,14.09,60.0,small_business,7.78,PA,RENT,4166.67,735.0,6.0,4240.0,3.0,2.0
36283,14000,14000.0,7.9,36.0,credit_card,21.69,IL,RENT,3162.25,730.0,12.0,13579.0,0.0,9.0
100086,14000,14000.0,10.16,36.0,debt_consolidation,13.44,CA,RENT,7916.67,690.0,16.0,19621.0,0.0,
3406,20000,3850.0,12.21,36.0,debt_consolidation,14.63,NY,RENT,6000.0,725.0,8.0,28585.0,0.0,10.0
4799,17000,15865.55,11.14,36.0,debt_consolidation,6.65,AZ,MORTGAGE,6333.33,760.0,7.0,6542.0,1.0,7.0
21789,7350,7350.0,10.74,60.0,debt_consolidation,29.82,WA,MORTGAGE,5000.0,745.0,15.0,15093.0,1.0,4.0
9281,10000,9500.0,10.25,36.0,major_purchase,12.93,NY,RENT,4841.67,775.0,4.0,0.0,1.0,4.0
8424,20000,19796.41,11.36,36.0,debt_consolidation,8.34,PA,MORTGAGE,15416.67,710.0,10.0,46501.0,0.0,10.0
7967,7000,7000.0,7.14,36.0,credit_card,5.44,MN,MORTGAGE,3807.64,760.0,7.0,7196.0,0.0,5.0
76489,6000,6000.0,12.12,60.0,other,9.31,CA,RENT,9583.33,715.0,12.0,27756.0,0.0,2.0
19321,12000,12000.0,10.0,36.0,debt_consolidation,12.32,WI,MORTGAGE,5000.0,715.0,6.0,4515.0,1.0,7.0
73614,4225,4225.0,6.03,36.0,small_business,14.52,NY,MORTGAGE,2583.33,750.0,17.0,3907.0,0.0,4.0
599,14700,1973.77,12.29,36.0,debt_consolidation,21.94,CT,RENT,3100.0,700.0,14.0,14694.0,2.0,8.0
11084,2500,2500.0,6.76,36.0,debt_consolidation,6.99,WI,MORTGAGE,4750.0,755.0,15.0,4658.0,2.0,4.0
15135,4800,4775.0,14.84,36.0,moving,0.0,CA,RENT,2500.0,670.0,4.0,0.0,0.0,2.0
43572,6000,6000.0,15.96,36.0,credit_card,22.1,MI,RENT,5583.33,665.0,9.0,36748.0,3.0,5.0
62900,6000,6000.0,6.03,36.0,credit_card,5.65,AL,MORTGAGE,7083.33,750.0,15.0,5747.0,0.0,4.0
85201,1800,1800.0,15.31,36.0,other,6.79,OK,MORTGAGE,6416.67,670.0,6.0,3394.0,2.0,7.0
69401,7200,7200.0,15.8,36.0,debt_consolidation,25.32,FL,MORTGAGE,3333.33,675.0,13.0,8903.0,1.0,6.0
52823,6000,6000.0,12.12,36.0,home_improvement,23.89,TX,MORTGAGE,8000.0,680.0,8.0,16139.0,0.0,2.0
93551,15300,14850.0,11.14,36.0,debt_consolidation,11.31,OH,MORTGAGE,6833.33,670.0,11.0,7106.0,2.0,10.0
2645,5000,5000.0,9.32,36.0,home_improvement,3.89,MN,MORTGAGE,2083.33,775.0,4.0,3901.0,2.0,4.0
62663,10500,10500.0,17.77,36.0,credit_card,12.33,PA,MORTGAGE,4583.33,665.0,9.0,18936.0,1.0,5.0
79948,6625,6625.0,17.77,36.0,debt_consolidation,11.68,CA,RENT,10268.25,660.0,9.0,3563.0,0.0,2.0
71685,16000,16000.0,22.47,60.0,credit_card,11.27,CA,RENT,4791.67,665.0,5.0,8474.0,0.0,2.0
100140,22000,22000.0,16.29,60.0,debt_consolidation,26.33,WI,RENT,4166.67,675.0,10.0,25245.0,0.0,5.0
11304,5000,5000.0,15.21,60.0,house,10.38,CA,RENT,6833.33,680.0,11.0,5045.0,1.0,8.0
89582,20000,20000.0,8.9,36.0,credit_card,10.79,IL,RENT,12083.33,680.0,8.0,25672.0,0.0,1.0
23686,1500,1500.0,13.06,36.0,major_purchase,20.82,TX,MORTGAGE,7083.33,670.0,8.0,4665.0,1.0,6.0
28812,8000,8000.0,7.49,36.0,car,2.86,CT,MORTGAGE,5666.67,730.0,7.0,5964.0,0.0,10.0
57235,18225,18225.0,16.29,60.0,debt_consolidation,32.19,AL,MORTGAGE,7166.67,705.0,19.0,29219.0,2.0,4.0
73371,5000,5000.0,7.62,36.0,debt_consolidation,8.43,OH,MORTGAGE,2916.67,740.0,6.0,12444.0,1.0,10.0
53062,10000,10000.0,13.99,36.0,debt_consolidation,10.73,NC,RENT,2629.0,685.0,5.0,10029.0,0.0,
65567,8000,8000.0,17.77,36.0,small_business,28.56,MN,RENT,2083.33,670.0,4.0,9059.0,0.0,6.0
104040,6000,6000.0,10.75,36.0,debt_consolidation,12.05,NJ,RENT,6000.0,720.0,14.0,25090.0,4.0,10.0
18942,24250,24225.0,18.62,60.0,debt_consolidation,22.74,RI,RENT,5000.0,685.0,13.0,14392.0,1.0,2.0
42555,8700,8700.0,12.69,36.0,home_improvement,5.02,NY,RENT,14166.67,675.0,11.0,19036.0,0.0,0.0
34403,20400,20375.0,14.65,60.0,debt_consolidation,10.38,VA,RENT,6733.33,725.0,8.0,11149.0,2.0,6.0
47998,9000,9000.0,6.62,36.0,other,16.14,MT,RENT,3333.33,740.0,10.0,8689.0,0.0,6.0
70942,16100,16100.0,11.14,36.0,debt_consolidation,25.36,MO,MORTGAGE,6250.0,715.0,14.0,9737.0,0.0,10.0
75067,35000,35000.0,21.0,36.0,debt_consolidation,11.05,LA,MORTGAGE,7702.0,670.0,8.0,11346.0,0.0,10.0
21036,4600,4600.0,7.66,36.0,debt_consolidation,9.14,MO,MORTGAGE,6500.0,700.0,9.0,12942.0,0.0,7.0
102309,14400,5325.0,14.18,36.0,credit_card,23.04,MO,MORTGAGE,4583.33,685.0,13.0,17568.0,4.0,10.0
81788,5000,5000.0,11.14,36.0,other,13.61,NY,RENT,3333.33,685.0,10.0,8436.0,0.0,
60201,5500,5500.0,19.05,36.0,home_improvement,2.33,GA,OWN,7500.0,660.0,3.0,2530.0,1.0,7.0
11835,25000,15800.0,13.98,60.0,debt_consolidation,20.23,PA,MORTGAGE,5416.67,720.0,13.0,21168.0,2.0,10.0
72655,5000,5000.0,14.09,36.0,debt_consolidation,11.18,AZ,RENT,10625.0,670.0,8.0,8054.0,0.0,1.0
51070,10000,10000.0,14.65,36.0,debt_consolidation,12.04,CA,RENT,2791.67,710.0,6.0,12139.0,1.0,3.0
3532,20000,13975.0,11.89,36.0,home_improvement,2.89,AL,MORTGAGE,5050.0,740.0,6.0,6863.0,4.0,10.0
19831,10000,10000.0,17.14,36.0,debt_consolidation,9.59,MA,RENT,1658.0,680.0,3.0,4902.0,0.0,0.0
56446,17000,17000.0,9.76,36.0,debt_consolidation,23.6,NJ,RENT,5416.67,740.0,16.0,5992.0,4.0,10.0
92839,25000,25000.0,22.47,60.0,credit_card,23.62,TX,MORTGAGE,5000.0,665.0,16.0,25348.0,1.0,3.0
74939,5000,5000.0,7.9,36.0,debt_consolidation,7.28,NY,RENT,8666.67,710.0,9.0,4572.0,0.0,1.0
59190,6000,6000.0,13.11,36.0,credit_card,21.34,RI,MORTGAGE,5416.67,685.0,19.0,15107.0,2.0,10.0
56692,8000,8000.0,17.27,36.0,credit_card,7.32,NY,RENT,5833.33,670.0,8.0,5350.0,2.0,4.0
84593,12000,12000.0,14.09,36.0,wedding,15.33,CA,RENT,8666.67,695.0,10.0,9624.0,1.0,1.0
5724,3000,3000.0,8.94,36.0,other,13.42,NY,RENT,4500.0,720.0,9.0,2541.0,2.0,0.0
15351,5000,5000.0,6.17,60.0,major_purchase,11.52,NY,RENT,1667.0,770.0,6.0,1108.0,0.0,3.0
70412,3200,3200.0,10.16,36.0,debt_consolidation,16.17,CA,MORTGAGE,3750.0,705.0,9.0,4283.0,1.0,6.0
77240,7625,7625.0,18.49,36.0,credit_card,15.79,NC,RENT,3166.67,670.0,4.0,8030.0,0.0,5.0
27710,3000,3000.0,22.11,60.0,other,0.0,MN,OWN,1471.0,690.0,3.0,0.0,0.0,6.0
25655,5000,5000.0,11.49,36.0,home_improvement,6.62,NC,MORTGAGE,3125.0,730.0,4.0,7187.0,1.0,1.0
27832,18500,18500.0,12.99,36.0,debt_consolidation,7.96,NY,RENT,5000.0,685.0,6.0,13490.0,0.0,10.0
80208,18000,18000.0,14.09,36.0,debt_consolidation,15.45,OR,MORTGAGE,4000.0,690.0,11.0,13877.0,0.0,5.0
27425,4200,4200.0,10.59,36.0,car,11.53,GA,RENT,3000.0,695.0,11.0,10067.0,0.0,7.0
21033,5000,4975.0,7.29,36.0,vacation,2.33,GA,MORTGAGE,5416.67,725.0,8.0,2937.0,1.0,10.0
34961,19000,19000.0,11.71,60.0,credit_card,13.79,NJ,MORTGAGE,4791.67,730.0,9.0,16348.0,0.0,5.0
38145,15000,15000.0,16.77,36.0,debt_consolidation,7.29,MD,RENT,7916.67,675.0,5.0,5355.0,1.0,6.0
77673,18625,18625.0,19.72,60.0,credit_card,22.98,AL,RENT,4000.0,680.0,15.0,26050.0,2.0,9.0
51812,6075,6075.0,7.62,36.0,debt_consolidation,28.25,OR,RENT,1083.33,720.0,8.0,11539.0,0.0,
94947,12500,12500.0,15.31,36.0,debt_consolidation,17.67,TX,MORTGAGE,3916.67,690.0,7.0,8221.0,3.0,10.0
49573,5000,5000.0,15.31,36.0,debt_consolidation,4.91,CA,RENT,7083.33,665.0,12.0,8225.0,1.0,5.0
61720,10000,10000.0,12.12,36.0,credit_card,23.06,MA,RENT,3083.33,690.0,14.0,13638.0,0.0,3.0
42743,8000,8000.0,16.77,36.0,credit_card,20.99,TX,RENT,3750.0,660.0,6.0,4010.0,0.0,5.0
50398,20000,19975.0,15.81,36.0,debt_consolidation,21.42,CO,RENT,5000.0,680.0,12.0,24352.0,1.0,0.0
40343,9600,9600.0,13.49,36.0,credit_card,15.04,PA,RENT,4250.0,685.0,17.0,7713.0,1.0,1.0
52548,3600,3600.0,9.76,36.0,credit_card,11.34,MI,RENT,2108.33,695.0,14.0,4467.0,0.0,
96704,14075,14075.0,18.75,36.0,other,12.96,NY,RENT,3033.33,690.0,6.0,13036.0,0.0,8.0
10059,3000,3000.0,7.51,36.0,major_purchase,11.31,CT,RENT,3500.0,735.0,9.0,0.0,2.0,3.0
82534,35000,34975.0,10.16,36.0,debt_consolidation,25.56,NY,RENT,9220.0,760.0,12.0,40782.0,1.0,10.0
25767,1700,1700.0,6.99,36.0,car,5.2,VA,RENT,2250.0,750.0,4.0,4527.0,0.0,5.0
9244,8800,8800.0,7.51,36.0,other,20.73,PA,MORTGAGE,4833.0,790.0,6.0,306.0,4.0,5.0
6045,24250,23985.41,12.18,36.0,debt_consolidation,17.65,CA,MORTGAGE,8910.42,740.0,16.0,81940.0,0.0,10.0
5073,10750,10166.42,11.14,36.0,credit_card,11.91,MA,MORTGAGE,4416.67,720.0,9.0,12619.0,1.0,2.0
38378,6000,6000.0,15.96,36.0,debt_consolidation,24.85,CA,MORTGAGE,3264.0,660.0,13.0,6347.0,1.0,10.0
99189,15000,15000.0,10.16,36.0,credit_card,18.57,CA,MORTGAGE,5000.0,700.0,13.0,33389.0,0.0,10.0
66604,15000,15000.0,14.33,36.0,credit_card,16.38,MD,MORTGAGE,5500.0,700.0,10.0,12413.0,2.0,3.0
87649,10000,10000.0,13.11,36.0,credit_card,14.12,CA,RENT,7500.0,680.0,12.0,3235.0,0.0,6.0
58739,5950,5950.0,12.12,36.0,credit_card,21.54,FL,MORTGAGE,5000.0,690.0,9.0,47746.0,0.0,10.0
28808,10000,10000.0,10.99,36.0,debt_consolidation,8.23,NY,OWN,5833.33,700.0,15.0,11620.0,0.0,0.0
26877,4000,4000.0,15.23,36.0,other,10.73,MA,RENT,2916.67,670.0,6.0,1651.0,1.0,6.0
13309,15000,14675.0,7.88,36.0,home_improvement,0.53,VA,MORTGAGE,10417.0,780.0,8.0,1343.0,1.0,0.0
6128,10000,9850.0,15.31,36.0,debt_consolidation,18.6,NY,RENT,2500.0,665.0,8.0,9092.0,1.0,0.0
70785,8875,8875.0,13.11,36.0,other,30.46,TX,OWN,2166.67,700.0,9.0,6797.0,1.0,2.0
44672,2400,2400.0,10.74,36.0,credit_card,11.2,NY,RENT,2000.0,705.0,4.0,3055.0,0.0,10.0
13054,25000,24950.0,20.53,60.0,debt_consolidation,18.5,NJ,RENT,8000.0,675.0,9.0,19548.0,0.0,3.0
103426,5500,5500.0,16.07,36.0,other,19.35,FL,MORTGAGE,3937.08,685.0,6.0,689.0,8.0,10.0
4545,6000,6000.0,12.53,36.0,credit_card,23.07,PA,RENT,2916.67,685.0,11.0,3334.0,0.0,2.0
82722,18000,18000.0,19.05,60.0,debt_consolidation,6.28,MD,MORTGAGE,7500.0,690.0,8.0,20675.0,1.0,10.0
40489,28000,27975.0,7.9,36.0,small_business,5.81,WA,MORTGAGE,7000.0,800.0,8.0,771.0,2.0,9.0
49956,32000,32000.0,16.29,60.0,debt_consolidation,15.14,AZ,RENT,7055.0,725.0,8.0,16174.0,1.0,6.0
69741,6000,6000.0,13.11,36.0,credit_card,4.53,NY,RENT,2625.0,690.0,5.0,4299.0,1.0,10.0
65248,7200,7200.0,8.9,60.0,debt_consolidation,25.16,LA,MORTGAGE,3750.0,750.0,13.0,7283.0,0.0,6.0
75785,11500,11500.0,11.14,36.0,debt_consolidation,10.47,AL,RENT,2916.67,700.0,6.0,9562.0,0.0,0.0
27764,4800,4800.0,5.42,36.0,major_purchase,10.23,FL,MORTGAGE,6333.33,790.0,13.0,10704.0,0.0,10.0
43707,4000,4000.0,10.65,36.0,debt_consolidation,23.4,NC,MORTGAGE,2333.33,685.0,21.0,3522.0,0.0,7.0
35025,15000,15000.0,10.65,36.0,other,14.36,CA,RENT,9083.33,720.0,11.0,26902.0,0.0,3.0
28518,15000,15000.0,17.99,36.0,debt_consolidation,21.04,TX,MORTGAGE,5319.17,675.0,13.0,5613.0,3.0,2.0
42228,25000,25000.0,12.42,36.0,debt_consolidation,1.05,CA,MORTGAGE,16666.67,705.0,7.0,2839.0,0.0,10.0
81620,4800,4800.0,18.75,60.0,other,27.69,TX,RENT,1560.0,680.0,9.0,6563.0,0.0,0.0
37389,9500,9500.0,6.62,36.0,debt_consolidation,19.28,GA,MORTGAGE,3583.33,735.0,8.0,5240.0,0.0,10.0
3204,15000,6200.0,12.53,36.0,home_improvement,13.78,MO,MORTGAGE,8750.0,705.0,8.0,21702.0,3.0,1.0
10554,6000,6000.0,13.98,36.0,debt_consolidation,7.73,CO,RENT,6250.0,675.0,6.0,3507.0,0.0,4.0
94092,12300,12300.0,6.03,36.0,debt_consolidation,7.15,VA,RENT,6666.67,740.0,10.0,10976.0,0.0,10.0
43387,24000,23950.0,7.51,36.0,other,17.95,PA,OWN,4250.0,755.0,6.0,19509.0,0.0,2.0
103784,2000,1975.0,11.12,36.0,other,20.5,NY,MORTGAGE,6833.33,705.0,19.0,20653.0,5.0,5.0
54576,14000,14000.0,9.76,36.0,debt_consolidation,22.55,NJ,MORTGAGE,8750.0,710.0,8.0,25026.0,0.0,10.0
47468,10000,10000.0,12.12,36.0,debt_consolidation,5.95,NJ,OWN,5000.0,700.0,5.0,10752.0,0.0,4.0
2578,13000,8113.74,9.63,36.0,small_business,16.14,TX,MORTGAGE,3500.0,785.0,6.0,0.0,1.0,1.0
73765,5000,5000.0,16.29,60.0,other,11.8,VA,RENT,5416.67,690.0,7.0,8745.0,1.0,4.0
36519,6000,5994.0,12.42,36.0,credit_card,11.68,VA,RENT,2500.0,670.0,6.0,9482.0,0.0,2.0
90239,10050,10050.0,14.33,36.0,debt_consolidation,6.07,CA,RENT,2916.67,710.0,9.0,7413.0,1.0,6.0
45980,4800,4800.0,7.9,36.0,debt_consolidation,19.07,OH,RENT,1500.0,720.0,12.0,6813.0,3.0,0.0
55803,14400,14400.0,10.74,36.0,debt_consolidation,5.9,CA,MORTGAGE,6833.33,700.0,15.0,10017.0,0.0,10.0
98051,11625,11625.0,15.31,36.0,debt_consolidation,16.73,CA,RENT,2833.33,695.0,8.0,17469.0,0.0,10.0
62884,18200,18200.0,10.16,36.0,credit_card,7.95,NY,RENT,4750.0,720.0,13.0,16184.0,2.0,3.0
16406,20000,19875.0,13.35,36.0,debt_consolidation,15.68,TX,MORTGAGE,9160.0,710.0,9.0,32392.0,1.0,10.0
37065,9600,9575.0,17.27,60.0,credit_card,12.9,NY,RENT,3333.33,695.0,7.0,13648.0,1.0,10.0
4644,9000,9000.0,11.83,36.0,car,0.48,MD,RENT,4833.0,715.0,6.0,0.0,1.0,4.0
57169,35000,35000.0,18.25,60.0,debt_consolidation,27.69,MD,RENT,8083.33,725.0,15.0,29300.0,0.0,10.0
33050,1900,1900.0,7.51,36.0,debt_consolidation,19.27,PA,MORTGAGE,6000.0,735.0,12.0,18397.0,2.0,10.0
46324,20000,19896.51,13.67,36.0,debt_consolidation,15.34,FL,RENT,5166.67,710.0,8.0,12394.0,1.0,6.0
20367,2400,2400.0,10.37,36.0,wedding,9.54,MN,MORTGAGE,3166.67,675.0,6.0,2174.0,0.0,1.0
36837,4500,4500.0,11.71,36.0,debt_consolidation,15.87,CA,MORTGAGE,3333.33,675.0,15.0,11963.0,0.0,6.0
68829,12000,12000.0,12.12,36.0,debt_consolidation,19.41,TX,MORTGAGE,8750.0,710.0,10.0,32028.0,1.0,4.0
694,10000,8175.26,8.63,36.0,debt_consolidation,5.91,GA,MORTGAGE,7500.0,730.0,16.0,18343.0,0.0,7.0
61873,11575,11575.0,7.9,36.0,debt_consolidation,17.47,TX,MORTGAGE,2833.33,730.0,8.0,5654.0,0.0,10.0
94081,20000,20000.0,6.62,36.0,credit_card,21.61,DC,MORTGAGE,8161.33,720.0,14.0,27904.0,1.0,8.0
101622,6000,3475.0,14.7,36.0,debt_consolidation,10.23,MD,RENT,6500.0,640.0,6.0,4103.0,0.0,1.0
21900,2800,2800.0,10.0,36.0,debt_consolidation,20.32,CA,RENT,3250.0,700.0,4.0,8717.0,0.0,5.0
70285,6000,6000.0,14.09,36.0,credit_card,9.93,CA,RENT,4250.0,680.0,6.0,5815.0,1.0,3.0
16069,20000,14750.0,6.91,36.0,debt_consolidation,15.16,CO,RENT,9208.0,735.0,10.0,20965.0,0.0,3.0
57923,22000,22000.0,13.99,60.0,debt_consolidation,18.28,MI,MORTGAGE,6083.33,720.0,9.0,20181.0,0.0,8.0
99914,10000,10000.0,13.11,36.0,debt_consolidation,20.34,MI,RENT,5416.67,675.0,9.0,8066.0,0.0,10.0
100662,9450,9450.0,12.12,36.0,credit_card,11.74,IL,MORTGAGE,4666.67,690.0,13.0,17639.0,2.0,10.0
20530,10400,10325.0,7.66,36.0,debt_consolidation,13.02,CA,MORTGAGE,6354.0,725.0,10.0,19656.0,3.0,10.0
20329,15875,15818.07,15.28,60.0,debt_consolidation,22.1,CA,RENT,3000.0,720.0,5.0,14289.0,2.0,2.0
53424,18000,18000.0,12.12,60.0,other,14.89,VA,MORTGAGE,8333.33,730.0,7.0,4038.0,0.0,5.0
47764,8000,8000.0,8.9,36.0,other,2.93,NY,RENT,5000.0,710.0,8.0,5540.0,0.0,2.0
94950,12000,12000.0,14.33,36.0,moving,20.06,NY,RENT,4166.67,760.0,8.0,14163.0,0.0,2.0
15213,20000,12150.0,6.54,60.0,debt_consolidation,12.36,NY,OWN,5000.0,795.0,9.0,7960.0,2.0,10.0
38976,10000,10000.0,16.77,36.0,debt_consolidation,18.55,CA,RENT,2916.67,660.0,9.0,7565.0,3.0,4.0
40113,24500,23475.0,19.03,60.0,debt_consolidation,23.02,MD,RENT,4497.0,680.0,13.0,18906.0,0.0,10.0
71538,10000,10000.0,12.12,36.0,debt_consolidation,19.58,CA,RENT,6250.0,695.0,17.0,16348.0,0.0,5.0
48972,3600,3600.0,7.9,36.0,credit_card,26.21,OH,MORTGAGE,4166.67,735.0,19.0,25.0,2.0,3.0
31876,12000,12000.0,17.49,60.0,debt_consolidation,6.94,OR,MORTGAGE,5445.0,670.0,8.0,4904.0,0.0,9.0
48894,6950,6950.0,10.74,36.0,credit_card,20.71,IL,OWN,4583.33,685.0,7.0,18814.0,0.0,10.0
74320,8525,8525.0,10.16,36.0,debt_consolidation,26.14,MT,MORTGAGE,4583.33,705.0,8.0,31398.0,0.0,10.0
65600,5000,5000.0,14.33,36.0,credit_card,28.51,CO,RENT,2750.0,690.0,14.0,5957.0,2.0,3.0
38529,4800,4800.0,18.25,60.0,debt_consolidation,13.81,OR,RENT,3750.0,695.0,13.0,16302.0,0.0,10.0
18088,6000,6000.0,13.35,36.0,debt_consolidation,21.36,NV,MORTGAGE,5000.0,665.0,11.0,4363.0,3.0,10.0
47960,4000,4000.0,19.22,60.0,small_business,9.03,VA,RENT,3700.0,680.0,19.0,2177.0,2.0,2.0
48295,14000,14000.0,6.03,36.0,debt_consolidation,14.67,CA,RENT,7500.0,745.0,12.0,16648.0,0.0,10.0
46245,23500,23450.0,14.65,36.0,debt_consolidation,19.48,CA,RENT,4000.0,685.0,7.0,20542.0,0.0,
13454,2500,2500.0,15.95,36.0,major_purchase,24.07,CA,MORTGAGE,1500.0,665.0,10.0,2684.0,3.0,1.0
16524,2000,2000.0,6.17,36.0,major_purchase,2.63,CA,RENT,1600.0,745.0,9.0,736.0,0.0,3.0
92631,24000,23925.0,16.29,60.0,credit_card,11.77,NJ,MORTGAGE,7800.0,675.0,11.0,20676.0,3.0,2.0
14193,12800,12800.0,11.49,60.0,debt_consolidation,6.72,CT,MORTGAGE,4166.67,725.0,7.0,11992.0,1.0,1.0
51829,8000,8000.0,7.9,36.0,wedding,21.58,CA,RENT,5166.67,725.0,5.0,0.0,0.0,1.0
31000,3000,3000.0,9.99,36.0,credit_card,21.3,MO,OWN,2333.33,710.0,10.0,3168.0,1.0,1.0
86532,7000,7000.0,7.9,36.0,credit_card,1.41,FL,RENT,12500.0,725.0,4.0,5093.0,0.0,7.0
8102,18000,17975.0,13.48,36.0,credit_card,6.24,IL,MORTGAGE,8333.33,690.0,13.0,14838.0,0.0,10.0
3112,9000,5975.0,14.11,36.0,debt_consolidation,8.21,CA,MORTGAGE,4167.0,670.0,7.0,19696.0,1.0,3.0
31448,11000,11000.0,10.99,36.0,debt_consolidation,4.26,SC,MORTGAGE,6666.67,695.0,11.0,4124.0,0.0,4.0
51408,6000,6000.0,7.9,36.0,major_purchase,14.99,IL,RENT,4416.67,720.0,10.0,2928.0,0.0,2.0
6646,6500,6475.0,7.74,36.0,debt_consolidation,18.0,NH,RENT,1500.0,785.0,5.0,2816.0,0.0,2.0
87572,19500,19500.0,18.49,36.0,credit_card,9.79,MD,RENT,10000.0,675.0,16.0,14957.0,1.0,2.0
33225,16000,16000.0,17.27,60.0,major_purchase,19.26,MD,RENT,7000.0,695.0,7.0,5231.0,1.0,10.0
93794,18000,17950.0,14.33,60.0,debt_consolidation,13.98,KS,MORTGAGE,12916.67,685.0,11.0,14890.0,2.0,10.0
54455,30000,29975.0,23.33,60.0,debt_consolidation,17.39,FL,MORTGAGE,7083.33,665.0,21.0,56145.0,1.0,10.0
93742,10000,10000.0,14.09,36.0,debt_consolidation,5.82,LA,RENT,8750.0,660.0,14.0,11394.0,0.0,3.0
12860,16000,15900.0,15.58,60.0,debt_consolidation,12.86,WA,MORTGAGE,5427.42,700.0,11.0,19407.0,1.0,5.0
41993,35000,35000.0,17.58,36.0,debt_consolidation,11.8,MA,MORTGAGE,13333.33,690.0,12.0,21393.0,1.0,10.0
18447,8000,8000.0,13.72,36.0,wedding,9.67,TX,RENT,7758.33,665.0,6.0,12110.0,1.0,2.0
71782,14500,14500.0,13.11,36.0,debt_consolidation,28.29,WA,MORTGAGE,5988.67,700.0,12.0,18020.0,2.0,10.0
7789,12000,11925.0,10.62,36.0,other,19.02,VA,RENT,5000.0,720.0,9.0,11779.0,0.0,1.0
19675,4500,4500.0,13.43,36.0,car,1.23,CA,RENT,11500.0,670.0,5.0,1847.0,1.0,1.0
5858,16500,16350.0,11.83,36.0,debt_consolidation,17.44,TX,RENT,4810.08,725.0,7.0,24351.0,1.0,3.0
43307,10000,10000.0,9.91,36.0,debt_consolidation,14.32,MN,MORTGAGE,3666.67,705.0,9.0,17161.0,0.0,1.0
88490,35000,35000.0,19.05,60.0,credit_card,13.4,CA,MORTGAGE,9166.67,690.0,7.0,26633.0,0.0,1.0
101891,21000,6165.31,11.09,36.0,home_improvement,21.28,CA,OWN,18333.33,745.0,31.0,270800.0,5.0,2.0
102234,8400,6725.0,15.45,36.0,debt_consolidation,15.71,MD,RENT,7083.33,640.0,7.0,14578.0,3.0,0.0
65443,6000,6000.0,7.9,36.0,credit_card,9.31,TX,OWN,1750.0,705.0,14.0,5056.0,0.0,6.0
47597,12000,12000.0,19.22,36.0,debt_consolidation,14.62,CT,OWN,4166.67,665.0,3.0,6309.0,0.0,6.0
30397,12100,12100.0,16.89,36.0,small_business,11.16,TX,MORTGAGE,6166.67,665.0,5.0,2081.0,0.0,4.0
92868,25000,25000.0,14.09,36.0,home_improvement,4.79,MD,MORTGAGE,6833.33,675.0,5.0,8811.0,0.0,8.0
89683,16000,15925.0,6.03,36.0,debt_consolidation,14.48,CA,MORTGAGE,7333.33,780.0,11.0,71838.0,1.0,10.0
48006,27000,27000.0,18.25,36.0,home_improvement,22.32,SC,MORTGAGE,8583.33,690.0,9.0,6658.0,1.0,8.0
66892,12250,12250.0,18.75,36.0,debt_consolidation,17.21,LA,OWN,2916.67,665.0,7.0,10523.0,0.0,7.0
