,TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
1945,0,50756,,4,27,3,16,10.0,16.25,9.96,13.33,18,129,14,35,81,6,16,33,S,1,11,,M,H,119100.0,41,100406.0
1946,0,50751,,3,10,2,5,60.0,45.0,25.9,55.0,25,89,12,32,64,6,16,25,S,1,13,57.0,F,H,163600.0,33,100406.0
1947,0,50741,,3,3,1,1,11.0,12.0,12.0,5.0,15,26,13,25,21,6,11,9,N,1,13,38.0,M,U,403900.0,44,100406.0
1948,0,50790,,1,1,1,1,15.0,15.0,15.0,15.0,23,23,8,15,13,3,6,5,N,0,32,77.0,F,H,45800.0,22,23443.0
1949,0,50869,,2,15,1,8,20.0,22.5,12.0,25.0,19,128,13,28,68,6,13,29,A,1,18,47.0,F,H,72700.0,35,45666.0
1950,0,49925,,5,23,5,19,10.0,10.0,9.0,10.0,21,130,12,30,75,6,17,34,S,1,15,59.0,F,H,83700.0,16,45666.0
1951,0,149680,,2,2,2,2,15.0,15.0,15.0,15.0,17,29,10,22,21,4,10,9,A,0,1,23.0,F,U,91200.0,18,54763.0
1952,1,50905,16.0,4,6,3,5,10.0,10.0,8.67,10.0,16,52,12,30,37,6,14,15,A,1,20,74.0,F,H,73600.0,31,52096.0
1953,0,50890,,1,1,1,1,20.0,20.0,20.0,20.0,17,17,10,15,13,4,6,5,F,0,25,30.0,F,U,74000.0,20,52096.0
1954,0,6232,,4,15,3,9,15.0,18.75,13.6,18.33,16,129,16,38,79,6,17,34,A,1,11,75.0,M,H,0.0,24,105120.0
1955,1,50967,15.0,1,4,1,2,15.0,15.0,10.0,15.0,21,41,11,29,34,5,13,14,A,0,11,73.0,F,H,84800.0,38,45359.0
1956,0,51022,,3,30,3,20,10.0,11.67,15.14,11.67,24,129,10,29,82,5,15,34,A,1,14,,M,H,335600.0,28,72290.0
1957,0,51011,,6,13,5,8,7.0,4.33,3.31,4.2,16,53,12,32,45,5,15,17,S,1,35,26.0,M,H,133300.0,18,72290.0
1958,0,50562,,6,26,3,15,5.0,5.0,3.94,4.33,21,129,11,28,65,5,13,26,S,1,46,,U,U,133300.0,18,0.0
1959,1,117524,25.0,3,12,3,8,25.0,18.33,20.83,18.33,24,113,12,32,71,6,16,29,A,1,15,53.0,F,H,112900.0,24,72290.0
1960,0,186506,,3,22,1,9,10.0,10.0,7.82,10.0,8,126,17,37,80,6,15,32,A,1,51,75.0,M,H,37300.0,26,40089.0
1961,0,51057,,2,4,0,0,15.0,13.5,11.75,,15,52,9,24,35,3,3,12,E,0,43,33.0,M,U,49700.0,24,40579.0
1962,0,51120,,3,13,3,6,12.0,10.67,8.77,10.67,21,64,13,32,55,6,17,23,S,1,43,43.0,F,U,46800.0,27,36858.0
1963,1,51185,10.0,1,6,1,4,16.0,16.0,9.33,16.0,21,87,10,27,54,4,11,20,A,1,45,,M,U,45700.0,32,41770.0
1964,0,51455,,0,1,0,0,25.0,0.0,25.0,,19,19,11,11,13,4,4,4,F,0,31,48.0,F,U,64900.0,28,57240.0
1965,1,51234,25.0,2,4,0,1,15.0,13.0,9.5,,18,57,12,31,38,6,6,15,A,0,21,74.0,F,H,48400.0,42,57240.0
1966,1,51269,5.0,6,23,3,9,5.0,5.0,5.09,5.0,17,105,10,30,70,5,15,28,S,1,51,49.0,F,H,47600.0,28,41330.0
1967,0,52861,,13,19,7,9,10.0,9.77,8.63,9.43,15,45,13,32,40,6,17,17,S,1,27,,F,U,47600.0,32,0.0
1968,0,51285,,1,5,1,3,25.0,25.0,18.0,25.0,27,114,9,27,61,4,12,28,A,0,49,49.0,M,H,54800.0,33,43207.0
1969,0,51293,,1,6,1,2,20.0,20.0,10.83,20.0,26,89,10,31,50,5,15,21,A,0,51,49.0,U,U,41400.0,24,0.0
1970,0,51334,,5,39,3,18,10.0,13.8,11.21,12.67,17,129,9,26,72,4,13,28,S,1,39,52.0,M,U,69700.0,30,0.0
1971,1,51382,25.0,1,6,0,1,20.0,20.0,10.67,,18,65,13,31,47,6,6,18,A,0,39,,M,H,68800.0,33,46245.0
1972,0,51406,,1,4,1,2,15.0,15.0,11.0,15.0,21,65,10,26,42,4,10,14,A,0,45,49.0,M,H,43400.0,38,36521.0
1973,1,51426,25.0,1,3,0,1,20.0,20.0,11.67,,22,44,12,31,35,6,6,14,A,0,36,51.0,M,H,53100.0,22,41395.0
1974,0,51423,,1,1,1,1,20.0,20.0,20.0,20.0,21,21,8,15,13,3,6,5,N,0,40,37.0,F,U,53100.0,33,41395.0
1975,1,51469,10.0,5,6,3,3,10.0,8.2,7.33,7.67,15,29,14,27,25,6,12,10,A,1,25,43.0,F,H,61600.0,34,27700.0
1976,1,51467,11.0,5,5,3,3,14.0,8.6,8.6,7.33,18,30,12,28,25,6,15,13,A,1,30,,F,U,35900.0,21,0.0
1977,1,51486,6.0,7,22,5,13,6.0,6.43,6.36,6.0,17,92,8,27,62,4,15,25,S,1,30,69.0,M,H,32500.0,39,42381.0
1978,0,51485,,3,10,1,5,5.0,6.67,5.4,10.0,15,75,12,32,50,6,15,21,A,1,24,80.0,M,H,157100.0,47,42381.0
1979,0,51506,,5,14,2,6,5.0,5.8,5.79,5.5,17,130,12,28,60,5,13,26,S,1,27,78.0,F,H,47500.0,29,25991.0
1980,1,191064,3.0,4,11,2,8,6.0,4.25,4.73,5.0,15,104,7,17,37,3,6,14,A,0,30,77.0,F,H,29700.0,29,25991.0
1981,1,51528,5.0,5,14,3,9,5.0,6.0,6.07,5.0,16,125,14,31,63,6,14,27,A,1,28,60.0,F,H,47200.0,34,41993.0
1982,0,51521,,4,7,2,4,18.0,14.5,11.0,13.0,18,45,13,34,40,6,17,17,A,1,27,42.0,M,U,56700.0,30,41993.0
1983,1,51520,10.0,2,4,1,1,6.0,15.0,11.5,15.0,19,32,12,30,29,6,15,13,A,0,26,,U,U,67200.0,45,41993.0
1984,0,51545,,2,3,0,1,15.0,17.5,15.0,,26,40,12,33,35,5,5,14,A,0,28,30.0,F,H,62700.0,40,43865.0
1985,0,51544,,3,3,3,3,20.0,20.0,20.0,20.0,21,33,12,30,31,6,15,14,A,1,27,53.0,M,H,42500.0,28,43865.0
1986,0,51640,,10,17,7,11,10.0,10.0,9.24,10.0,22,109,13,34,67,6,17,31,S,1,25,38.0,F,H,65700.0,22,58844.0
1987,1,51692,15.0,5,20,3,12,5.0,10.0,10.6,13.33,18,130,8,27,69,4,15,31,S,1,34,71.0,F,H,82900.0,35,41558.0
1988,0,51696,,1,5,0,4,15.0,15.0,10.4,,26,102,9,25,57,4,4,24,A,1,27,67.0,U,H,41100.0,23,41558.0
1989,1,51683,5.0,5,10,4,6,5.0,5.0,5.0,5.0,15,53,12,29,42,6,16,18,S,1,25,,M,H,69000.0,0,41558.0
1990,1,51706,15.0,2,7,1,5,15.0,17.5,11.43,20.0,21,86,12,31,52,6,16,22,A,1,40,49.0,M,H,97200.0,30,47969.0
1991,0,51701,,2,6,1,5,20.0,15.0,9.5,10.0,19,76,11,23,27,4,9,12,A,1,39,,F,U,52100.0,28,47969.0
1992,1,63135,5.0,6,20,3,8,5.0,5.0,4.35,5.0,17,104,12,33,71,6,17,27,S,1,30,64.0,F,H,77600.0,38,44021.0
1993,0,51741,,5,5,2,2,20.0,17.0,17.0,20.0,16,31,14,29,28,6,13,11,A,0,30,,F,U,61300.0,46,38699.0
1994,1,51731,20.0,4,12,3,7,16.0,18.0,10.75,18.67,27,88,10,30,54,5,16,23,A,1,36,46.0,M,H,64000.0,38,38699.0
1995,0,14754,,1,16,0,7,13.0,13.0,9.25,,26,130,9,27,77,4,4,28,A,1,0,,F,H,46000.0,0,37627.0
1996,0,51735,,2,15,1,10,10.0,11.0,7.47,12.0,18,56,12,28,38,5,13,16,A,1,36,57.0,F,H,57700.0,47,37627.0
1997,0,51811,,2,11,1,7,26.0,23.5,12.91,21.0,27,125,11,29,70,5,14,29,A,1,36,65.0,M,U,43800.0,33,33333.0
1998,0,51824,,8,42,7,25,15.0,12.88,10.14,12.71,17,130,14,32,85,5,16,33,S,1,36,74.0,F,U,54900.0,26,43449.0
1999,1,51846,25.0,2,16,1,10,20.0,20.0,15.0,20.0,19,130,13,34,68,6,17,32,A,1,51,42.0,F,U,38600.0,34,0.0
2000,1,51845,18.0,2,9,0,2,16.0,14.5,8.44,,19,90,14,32,55,6,6,21,A,0,51,,F,U,38600.0,36,31336.0
2001,0,51844,,3,9,2,7,20.0,16.0,11.22,17.0,21,77,13,32,57,6,16,22,A,1,51,68.0,F,H,38600.0,36,31336.0
2002,0,51859,,4,8,4,5,6.0,11.0,8.0,11.0,19,41,12,31,33,6,15,14,A,1,49,35.0,F,H,61000.0,35,41835.0
2003,1,12220,5.0,8,27,3,7,8.0,6.38,6.56,6.67,18,77,26,46,81,6,16,22,S,1,36,44.0,M,U,47000.0,38,0.0
2004,0,51881,,3,5,2,3,25.0,20.67,18.4,18.5,18,41,13,33,37,6,16,15,A,0,31,63.0,M,U,36300.0,35,36988.0
2005,1,51918,15.0,2,3,0,0,17.0,16.0,12.33,,18,39,12,32,30,6,6,14,A,0,40,,F,H,72000.0,33,52196.0
2006,0,51903,,7,36,4,20,5.0,3.43,2.37,3.25,25,128,12,33,70,6,17,32,S,1,41,83.0,F,U,50500.0,40,0.0
2007,0,51892,,2,9,1,2,20.0,18.5,10.78,17.0,20,69,13,35,55,6,17,21,A,0,38,,F,U,29500.0,28,0.0
2008,0,45855,,2,18,1,10,10.0,8.0,7.39,6.0,20,123,14,32,71,5,13,29,A,1,16,73.0,F,H,37900.0,44,29583.0
2009,0,52012,,1,9,0,3,15.0,15.0,8.33,,18,125,8,21,36,2,2,11,A,0,51,81.0,M,H,42700.0,23,38075.0
2010,0,52015,,7,9,5,6,5.0,5.29,5.22,5.4,19,44,12,31,35,6,16,16,S,1,51,,F,U,36800.0,29,34044.0
2011,0,52040,,5,11,3,6,15.0,15.0,13.27,15.0,18,54,13,35,46,6,17,19,S,1,36,77.0,F,U,39100.0,29,42512.0
2012,0,52036,,6,9,3,4,10.0,7.5,7.22,8.33,15,41,13,34,40,6,16,15,A,1,39,,M,U,59800.0,31,42512.0
2013,0,52030,,2,2,2,2,20.0,20.0,20.0,20.0,21,28,10,22,22,4,10,9,A,0,38,35.0,F,H,86600.0,52,42512.0
2014,1,52071,30.0,1,1,1,1,20.0,20.0,20.0,20.0,21,21,10,17,15,4,7,6,F,0,51,42.0,F,U,42900.0,31,39399.0
2015,0,52095,,6,7,4,4,5.0,6.17,6.0,5.5,17,38,12,31,33,6,15,13,A,0,46,,U,U,83800.0,38,0.0
2016,1,52132,7.0,6,7,5,5,7.0,7.17,6.86,6.6,16,39,14,34,35,6,15,14,A,1,0,,F,U,39700.0,0,36029.0
2017,1,52158,3.0,12,34,7,16,5.0,2.67,2.59,2.0,15,75,12,31,55,5,14,22,S,1,43,35.0,F,H,35100.0,26,34412.0
2018,1,52161,5.0,1,10,1,7,15.0,15.0,6.7,15.0,21,127,10,28,62,4,12,27,A,0,51,67.0,F,U,32500.0,9,25185.0
2019,0,52173,,3,3,2,2,20.0,18.33,18.33,20.0,21,29,12,26,25,6,14,12,A,0,36,68.0,F,H,24900.0,28,23527.0
2020,1,52171,5.0,4,20,2,10,5.0,5.5,4.25,5.0,17,124,13,25,66,6,11,26,S,1,36,,M,U,41600.0,28,36767.0
2021,1,52196,10.0,2,3,1,1,15.0,12.5,10.0,10.0,19,38,10,28,28,4,12,12,A,0,40,47.0,M,U,50400.0,45,44363.0
2022,0,52222,,3,5,0,1,10.0,10.0,9.0,,16,65,11,26,42,5,5,14,A,0,36,37.0,M,H,40100.0,28,28039.0
2023,1,52215,5.0,1,1,1,1,20.0,20.0,20.0,20.0,18,18,10,14,12,4,6,5,F,0,41,36.0,F,U,31800.0,41,28039.0
2024,0,42377,,4,8,4,6,15.0,14.5,11.75,14.5,20,53,13,33,47,6,17,18,A,1,36,61.0,F,H,56300.0,35,52079.0
2025,1,52104,50.0,2,2,1,1,20.0,20.0,20.0,20.0,19,30,11,25,23,3,9,9,A,0,39,,M,U,62600.0,29,0.0
2026,0,52341,,4,21,2,13,13.0,12.25,8.95,12.0,16,97,12,31,68,5,14,26,S,1,36,73.0,F,U,39400.0,32,41471.0
2027,1,52330,3.0,9,11,4,4,2.0,5.0,4.45,6.0,18,33,12,30,29,6,15,13,S,1,36,69.0,U,H,56500.0,44,41471.0
2028,1,52350,10.0,4,4,3,3,10.0,7.0,7.0,8.33,16,28,12,23,23,5,10,9,A,1,51,,F,U,40200.0,29,32404.0
2029,1,52398,14.0,6,21,4,11,13.0,14.0,11.14,13.25,22,97,13,35,73,6,17,29,A,1,43,47.0,F,H,41800.0,36,39115.0
2030,0,52420,,1,20,0,11,12.0,12.0,2.98,,20,130,11,28,68,4,4,28,A,1,51,71.0,M,U,49100.0,24,31101.0
2031,0,52461,,6,12,5,8,5.0,5.0,5.0,5.0,20,105,12,30,58,6,14,24,S,1,36,85.0,M,H,57500.0,32,55638.0
2032,0,52446,,3,4,2,3,20.0,16.33,14.75,17.5,23,41,12,32,36,6,15,14,A,0,36,59.0,F,H,89900.0,40,55638.0
2033,0,52478,,1,10,1,4,11.0,9.0,9.4,9.0,19,115,13,33,60,6,15,27,A,0,43,25.0,U,U,53100.0,35,41918.0
2034,1,52476,21.0,1,7,1,5,15.0,15.0,12.86,15.0,22,69,12,32,54,6,15,21,A,1,53,49.0,M,H,43400.0,42,41918.0
2035,0,52481,,4,5,3,3,20.0,17.5,16.0,18.33,24,39,11,32,34,6,17,16,A,1,43,71.0,F,H,37100.0,28,30690.0
2036,0,52506,,7,13,2,3,7.0,5.43,5.15,6.0,15,43,15,35,40,6,16,16,S,1,35,45.0,F,U,87100.0,34,52992.0
2037,0,52452,,1,6,1,3,25.0,15.0,10.5,15.0,18,62,15,35,50,6,15,20,A,0,37,81.0,F,H,44000.0,61,36204.0
2038,1,52549,30.0,3,9,1,5,25.0,20.0,13.11,17.0,16,77,13,35,58,6,17,25,A,1,48,42.0,M,H,55600.0,32,35941.0
2039,1,52548,14.0,2,7,0,2,25.0,14.0,13.57,,18,76,14,35,56,7,7,22,A,0,43,60.0,M,U,45700.0,30,35941.0
2040,1,52588,15.0,3,4,2,2,10.0,10.67,10.75,10.0,20,35,14,31,30,6,14,12,A,0,51,,U,U,58500.0,21,0.0
2041,1,52574,12.0,8,23,4,12,10.0,11.63,8.22,11.5,15,124,14,35,74,6,17,30,S,1,46,52.0,F,H,61900.0,35,39065.0
2042,1,52593,22.0,2,6,0,2,16.0,14.0,11.67,,16,116,12,30,53,5,5,23,A,0,43,59.0,F,H,52400.0,17,45009.0
2043,1,52592,10.0,4,11,3,6,10.0,10.75,9.09,11.0,18,75,13,34,55,6,17,23,A,1,39,55.0,F,H,66700.0,35,45009.0
2044,0,52619,,3,4,1,2,20.0,16.0,14.5,16.0,19,39,12,34,33,6,17,16,A,0,53,,M,H,31000.0,27,35262.0
2045,1,52547,5.0,9,11,6,7,5.0,4.78,4.45,4.67,18,39,12,31,32,6,16,15,S,1,43,57.0,M,H,30900.0,27,28717.0
2046,0,52661,,3,9,1,5,11.0,10.33,8.56,11.0,16,94,15,28,55,6,11,19,A,1,51,63.0,M,U,42900.0,26,33263.0
2047,0,52659,,2,5,1,3,50.0,51.0,36.8,52.0,19,56,13,34,50,6,16,20,A,0,51,,F,U,42900.0,26,33263.0
2048,0,52677,,1,3,1,2,20.0,20.0,11.0,20.0,23,52,12,27,31,6,12,12,A,0,22,66.0,F,U,64500.0,26,56002.0
2049,0,52713,,4,6,3,4,10.0,10.0,9.17,10.0,19,57,14,30,43,6,13,16,A,1,35,71.0,M,H,87300.0,47,37966.0
2050,1,52740,8.0,12,43,8,20,10.0,9.25,7.6,9.13,18,104,12,33,74,5,16,29,S,1,30,81.0,F,H,27300.0,24,31410.0
2051,1,52729,10.0,3,6,1,2,10.0,6.67,5.83,5.0,18,51,6,20,29,4,10,12,A,0,28,67.0,F,H,47000.0,37,31410.0
2052,0,52776,,2,9,1,4,25.0,25.0,17.22,25.0,18,122,15,37,70,6,17,31,A,1,30,78.0,F,U,54400.0,20,0.0
2053,0,52774,,4,16,3,12,20.0,21.25,16.56,21.67,22,126,7,21,70,4,13,30,A,1,39,,F,U,62100.0,35,46288.0
2054,1,14064,100.0,1,1,0,0,200.0,200.0,200.0,,20,20,28,34,35,5,5,6,F,0,24,42.0,M,H,91900.0,26,65592.0
2055,1,12932,21.0,4,13,2,7,15.0,16.0,12.23,17.0,16,86,20,29,52,1,5,15,E,0,26,50.0,F,U,91000.0,28,0.0
2056,0,52804,,4,17,1,6,10.0,10.75,10.76,10.0,15,127,13,34,75,6,16,33,S,1,24,83.0,M,H,119900.0,33,65592.0
2057,1,52824,11.0,9,13,7,8,8.0,9.44,8.46,9.29,17,41,13,33,39,6,17,16,S,1,41,,M,H,50300.0,33,40165.0
2058,1,123822,10.0,4,5,2,3,9.0,8.75,7.6,8.0,19,41,13,30,31,6,14,13,A,0,12,,F,U,53500.0,40,0.0
2059,0,8992,,1,13,1,3,10.0,5.0,12.15,5.0,4,66,38,56,85,6,13,19,A,0,27,,F,U,49700.0,28,0.0
2060,1,52902,17.0,2,4,2,2,10.0,22.5,15.0,22.5,15,44,14,32,36,6,15,15,A,0,24,,F,H,92900.0,27,83308.0
2061,0,52881,,3,5,2,4,25.0,23.33,24.0,22.5,16,83,14,34,48,6,16,23,A,0,35,,M,H,97300.0,31,83308.0
2062,0,52672,,2,10,1,9,15.0,12.5,6.9,15.0,16,122,14,32,64,6,14,30,A,1,35,51.0,F,H,97300.0,31,83308.0
2063,0,52980,,4,17,3,11,12.0,11.75,9.65,11.67,23,79,12,34,60,6,17,24,A,1,40,55.0,F,H,73200.0,29,52428.0
2064,1,52990,26.0,2,18,2,11,10.0,8.5,5.0,8.5,16,130,12,25,69,4,9,24,A,1,40,59.0,M,H,92700.0,32,62218.0
2065,0,52998,,1,12,0,7,15.0,15.0,7.5,,17,122,13,34,70,6,6,31,A,1,40,62.0,M,H,72900.0,33,52408.0
2066,0,53013,,6,22,3,12,4.0,5.0,5.0,5.0,15,105,15,36,75,6,17,29,S,1,42,,F,U,115900.0,30,61996.0
2067,0,53039,,2,14,1,6,15.0,12.5,8.21,10.0,15,78,10,27,58,3,10,22,E,1,49,,F,H,60200.0,27,51131.0
2068,0,53091,,5,12,2,4,12.0,10.2,8.25,10.5,16,77,15,36,57,6,16,23,A,0,14,37.0,F,H,138800.0,34,75325.0
2069,0,53625,,2,5,0,1,15.0,15.0,13.0,,18,69,12,31,49,4,4,17,A,0,21,77.0,U,H,96100.0,44,75325.0
2070,0,53086,,2,4,2,4,25.0,22.5,21.25,22.5,20,64,13,31,46,6,14,17,A,0,35,48.0,F,U,131200.0,27,75325.0
2071,0,53082,,1,3,1,3,20.0,20.0,13.33,20.0,21,53,12,29,40,6,13,15,A,0,35,50.0,M,U,146700.0,27,75325.0
2072,1,53078,25.0,3,5,2,3,25.0,21.67,19.0,20.0,24,44,12,31,37,6,16,16,A,0,35,44.0,F,H,121700.0,18,75325.0
2073,1,187604,11.0,6,10,3,7,7.0,5.83,5.3,5.33,18,40,5,13,16,1,5,6,E,1,34,,U,U,134900.0,21,0.0
2074,1,53127,30.0,3,8,1,6,25.0,23.33,17.63,25.0,17,88,12,30,57,6,15,23,S,1,38,,M,H,57600.0,22,40107.0
2075,1,53151,40.0,1,1,0,0,20.0,20.0,20.0,,15,15,11,15,13,5,5,5,F,0,50,,M,U,34500.0,14,32054.0
2076,0,53167,,3,4,2,2,20.0,10.67,10.5,6.0,19,29,12,26,24,6,13,11,A,1,35,45.0,M,H,89100.0,43,51586.0
2077,0,2058,,5,6,3,3,15.0,12.0,12.5,11.67,16,33,15,30,42,4,10,13,E,1,43,,M,H,60500.0,32,44931.0
2078,1,71,16.0,5,22,4,13,8.0,8.6,6.82,8.5,9,91,27,41,62,11,18,27,S,1,43,63.0,F,H,39900.0,33,39313.0
2079,1,53213,15.0,3,3,3,3,16.0,12.0,12.0,12.0,22,33,12,30,28,6,14,12,A,0,50,53.0,F,H,40200.0,24,37849.0
2080,0,53225,,6,8,4,4,10.0,9.5,9.13,11.75,18,32,13,29,30,6,14,12,A,1,50,,F,H,37700.0,23,33250.0
2081,0,53268,,3,37,3,19,10.0,12.0,8.32,12.0,24,123,5,16,60,3,10,27,A,1,1,83.0,F,U,91400.0,9,44767.0
2082,0,53258,,3,6,3,4,20.0,16.33,11.5,16.33,16,44,14,35,40,6,16,16,A,0,3,56.0,F,H,110700.0,27,44767.0
2083,0,53286,,4,17,2,13,5.0,5.0,3.35,5.0,16,104,12,31,60,5,13,25,S,1,12,44.0,F,H,56800.0,38,22631.0
2084,1,190064,20.0,2,2,2,2,15.0,10.0,10.0,10.0,21,28,4,10,10,2,5,5,E,0,10,,F,U,34000.0,18,0.0
2085,1,53295,15.0,2,2,1,1,15.0,12.5,12.5,10.0,26,31,10,24,22,4,10,9,A,0,8,43.0,F,H,47000.0,28,25137.0
2086,0,4590,,4,21,4,12,19.0,15.25,13.57,15.25,19,128,33,53,118,6,17,33,A,1,30,84.0,F,H,53500.0,31,32033.0
2087,1,53329,10.0,3,15,1,9,12.0,9.0,5.6,5.0,18,126,15,35,68,6,15,29,S,1,32,67.0,F,H,29900.0,16,32033.0
2088,1,7173,32.0,7,15,3,9,26.0,25.14,17.73,31.33,18,124,15,36,76,6,17,32,S,1,11,67.0,F,U,85400.0,31,38328.0
2089,0,53340,,5,5,2,2,10.0,8.2,8.2,9.5,18,31,12,25,25,6,11,9,A,0,30,,F,H,45400.0,32,38328.0
2090,0,53384,,4,7,1,2,20.0,12.5,12.57,10.0,18,40,13,33,36,6,16,16,A,1,12,78.0,U,H,56800.0,38,24813.0
2091,1,53485,7.0,4,4,2,2,7.0,7.0,7.0,8.0,16,28,11,23,21,5,10,9,A,0,18,,F,H,86100.0,19,44143.0
2092,0,55489,,4,12,2,8,25.0,25.0,19.42,25.0,20,89,15,37,64,6,17,26,S,1,42,81.0,F,U,70000.0,36,44143.0
2093,1,7649,13.0,7,22,3,6,9.0,8.71,10.05,7.33,4,69,45,65,99,13,24,23,A,0,13,,F,U,131800.0,46,62350.0
2094,1,53448,20.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,7,17,15,3,7,6,N,0,13,59.0,F,H,131800.0,46,62350.0
2095,1,53496,20.0,5,14,4,7,21.0,17.8,12.57,17.25,22,71,12,34,58,6,17,23,S,1,18,47.0,F,H,62500.0,34,36549.0
2096,0,53773,,2,3,1,1,10.0,10.0,10.0,10.0,19,21,13,21,18,6,10,8,N,0,12,,M,U,100800.0,23,0.0
2097,1,53529,5.0,2,23,1,14,10.0,10.0,10.65,10.0,18,123,7,26,75,3,11,28,A,1,11,,F,H,118300.0,28,69526.0
2098,0,53509,,2,2,1,1,17.0,16.0,16.0,15.0,18,24,12,23,19,6,11,9,N,0,13,75.0,M,H,166000.0,36,69526.0
2099,0,53557,,3,8,0,1,15.0,12.0,9.38,,26,75,9,26,49,4,4,18,A,0,30,34.0,F,H,49000.0,38,35906.0
2100,1,53576,25.0,1,1,1,1,25.0,25.0,25.0,25.0,16,16,12,17,14,5,7,6,F,0,14,47.0,M,H,112400.0,24,73713.0
2101,0,53638,,6,33,3,17,10.0,10.33,7.48,10.0,17,128,13,34,79,6,17,33,S,1,16,49.0,F,H,57400.0,35,30220.0
2102,0,53633,,3,16,1,12,11.0,11.0,10.19,11.0,15,113,14,33,74,6,15,29,S,1,21,68.0,M,H,49500.0,26,30220.0
2103,1,53611,18.25,5,10,3,4,15.0,8.8,8.0,7.67,18,41,13,34,38,6,17,17,A,1,21,43.0,F,H,46800.0,26,30220.0
2104,0,53669,,2,14,0,6,14.0,13.5,6.71,,24,91,10,29,58,5,5,23,A,1,12,71.0,M,H,90100.0,44,40067.0
2105,0,53715,,6,22,4,12,25.0,12.5,6.91,7.5,18,76,13,35,59,6,17,24,S,1,12,58.0,F,H,77500.0,33,55298.0
2106,0,53701,,2,2,2,2,16.0,13.0,13.0,13.0,16,24,13,24,21,6,11,9,N,0,18,55.0,F,H,59100.0,23,55298.0
2107,1,53753,30.0,2,13,0,7,20.0,20.0,15.85,,19,99,13,35,70,6,6,28,A,1,11,44.0,F,H,123900.0,37,94790.0
2108,0,53770,,4,11,3,8,10.0,13.0,17.18,13.33,15,124,13,32,72,6,15,30,A,1,35,,M,U,210600.0,25,0.0
2109,1,53763,15.0,2,2,2,2,15.0,14.0,14.0,14.0,16,31,11,25,22,4,10,9,A,0,35,55.0,M,H,175200.0,27,122441.0
2110,1,53793,5.0,2,14,1,9,17.0,16.0,7.71,17.0,20,106,13,35,78,6,17,33,A,1,12,48.0,F,H,96600.0,29,56508.0
2111,0,53775,,1,2,1,1,25.0,50.0,37.5,50.0,18,23,13,24,22,6,11,9,N,0,12,63.0,F,H,96600.0,29,56508.0
2112,0,53859,,1,4,0,2,15.0,15.0,15.0,,20,65,12,24,42,4,4,14,A,0,36,80.0,F,U,43000.0,33,36352.0
2113,1,53853,8.0,6,8,3,4,10.0,7.0,6.25,7.67,22,41,12,33,34,6,16,15,A,0,41,,F,U,18600.0,27,0.0
2114,1,7637,10.0,3,22,2,11,11.0,10.33,9.0,10.5,20,131,25,46,118,5,15,30,S,1,53,79.0,F,H,35300.0,30,33438.0
2115,0,6806,,1,24,1,8,25.0,25.0,19.33,25.0,7,127,35,49,110,7,14,22,A,1,24,72.0,F,H,84900.0,27,32757.0
2116,1,53893,25.0,0,1,0,0,25.0,0.0,25.0,,19,19,10,10,12,4,4,4,F,0,40,65.0,M,H,59300.0,32,32757.0
2117,0,53963,,3,5,0,1,15.0,14.0,11.4,,15,45,14,31,36,6,6,13,A,0,48,35.0,M,H,39700.0,24,33235.0
2118,0,53965,,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,15,13,4,6,5,F,0,45,46.0,F,H,40700.0,34,33508.0
2119,1,54003,15.0,4,15,1,9,17.0,16.0,13.67,15.0,15,119,13,35,75,6,17,34,A,1,36,62.0,U,H,48600.0,39,40928.0
2120,0,54026,,2,7,1,3,25.0,22.5,27.14,20.0,19,78,13,31,58,6,15,23,A,0,45,60.0,M,H,37800.0,33,43355.0
2121,0,54025,,1,4,0,2,20.0,20.0,11.75,,24,76,9,24,46,4,4,16,A,0,43,60.0,M,U,51400.0,27,43355.0
2122,0,54035,,2,12,0,4,20.0,21.0,10.42,,18,104,13,32,67,6,6,27,A,0,36,49.0,M,H,45900.0,33,41019.0
2123,0,54041,,1,3,1,1,15.0,15.0,11.67,15.0,23,44,10,28,32,4,12,13,A,0,43,,F,U,47400.0,34,45357.0
2124,0,54085,,4,16,3,13,25.0,18.0,9.5,15.67,20,130,13,34,73,6,17,29,A,1,45,,M,U,44400.0,25,39545.0
2125,1,54134,10.0,2,25,2,15,10.0,7.5,5.64,7.5,21,129,12,23,71,4,9,25,A,1,41,81.0,M,U,45200.0,36,48101.0
2126,0,54127,,1,10,0,5,15.0,15.0,7.8,,17,113,12,30,59,5,5,26,A,1,35,42.0,M,H,107600.0,30,48101.0
2127,0,54125,,3,8,2,4,25.0,20.0,16.75,20.0,24,93,12,34,66,6,17,26,A,0,44,43.0,F,U,82600.0,28,48101.0
2128,1,54123,5.0,7,20,5,9,5.0,5.57,5.0,5.6,19,87,13,31,63,6,16,23,S,1,40,,F,H,45200.0,29,48101.0
